0	
1	  earn

2	
3	
4	  trade
  acq

5	
6	
7	  earn

8	
9	
10	  crude
  nat-gas

11	
12	
13	  coffee
  cocoa
  sugar

14	  veg-oil

15	
16	
17	  acq

18	
19	
20	
21	
22	  earn

23	
24	  acq

25	
26	  earn

27	
28	
29	
30	
31	  earn

32	
33	
34	  earn

35	
36	  earn

37	  gas

38	
39	  earn

40	  earn

41	  acq

42	  iron-steel
  ship

43	
44	
45	  earn

46	
47	  money-fx

48	  acq

49	  earn

50	
51	  acq

52	  earn

53	  earn

54	
55	
56	  earn

57	  acq

58	
59	
60	  earn

61	  cotton

62	
63	  earn

64	  acq

65	  acq

66	  earn

67	  earn

68	
69	
70	  acq

71	
72	  acq
  earn

73	  earn

74	  money-fx
  dlr

75	  earn

76	
77	  acq
  crude

78	  money-supply

79	  crude

80	  money-fx
  dlr

81	
82	  earn

83	
84	  earn

85	  acq

86	
87	  acq

88	  earn

89	  earn

90	  money-fx
  interest

91	  earn

92	
93	  earn

94	  earn

95	  earn

96	  earn

97	  acq

98	  earn

99	  coffee

100	
101	  acq

102	
103	
104	  earn

105	  acq
  crude

106	  sugar

107	  earn

108	  earn

109	  earn

110	
111	  earn

112	
113	  earn

114	  earn

115	
116	
117	
118	  earn

119	  grain
  wheat
  corn

120	
121	  cocoa

122	
123	  grain
  sugar
  livestock
  carcass

124	
125	
126	
127	  acq

128	  acq

129	  earn

130	
131	
132	
133	
134	  gnp
  jobs

135	  money-fx

136	
137	
138	  acq
  grain
  corn

139	  earn

140	
141	
142	
143	
144	
145	  acq

146	
147	
148	
149	
150	  strategic-metal

151	
152	  money-supply

153	  money-supply

154	  money-supply

155	  interest

156	
157	  acq

158	
159	
160	
161	  earn

162	  earn

163	
164	  earn

165	
166	
167	  acq
  crude

168	
169	
170	  acq

171	  grain
  corn
  wheat
  oilseed
  soybean

172	  earn

173	  earn

174	  grain
  corn
  wheat
  oilseed
  soybean
  meal-feed
  veg-oil
  soy-oil
  sorghum
  barley

175	  money-supply

176	  money-supply

177	  money-supply

178	
179	  earn

180	  earn

181	
182	  money-supply

183	
184	  earn

185	  earn

186	
187	
188	
189	  acq
  crude
  nat-gas

190	  money-fx

191	  crude

192	
193	
194	
195	  earn

196	  earn

197	
198	
199	  crude

200	  earn

201	
202	
203	
204	
205	
206	  earn

207	  earn

208	  trade

209	
210	  earn

211	
212	  acq

213	  gold

214	  earn

215	  gold

216	
217	  acq
  earn

218	  acq

219	
220	
221	  earn

222	
223	  acq

224	  earn

225	
226	  earn

227	  crude
  nat-gas

228	
229	  ipi

230	  earn

231	
232	  earn

233	
234	  earn

235	
236	  earn

237	  acq

238	
239	  earn

240	
241	  earn

242	  earn

243	
244	  earn

245	  money-supply
  interest

246	
247	
248	
249	
250	
251	
252	  earn

253	  earn

254	  trade

255	
256	
257	  alum

258	
259	  cpi

260	  cpi

261	  reserves

262	  money-fx
  dlr

263	  trade

264	  trade

265	
266	
267	  trade
  grain
  wheat
  tea
  coffee
  iron-steel
  crude

268	
269	
270	
271	  earn

272	
273	
274	  iron-steel
  trade

275	
276	  interest

277	
278	
279	  earn

280	  earn

281	  earn

282	  ipi

283	  earn

284	  ipi

285	
286	
287	
288	  gnp

289	
290	  earn

291	  earn

292	
293	  bop

294	  bop

295	
296	  bop
  trade

297	
298	  sugar

299	  oilseed
  veg-oil
  castorseed
  castor-oil

300	
301	  ship

302	
303	
304	  grain
  wheat

305	  sugar

306	
307	  money-fx
  dlr

308	
309	  acq

310	  acq

311	
312	  acq

313	  ipi

314	  iron-steel

315	
316	
317	  earn

318	  grain
  corn

319	
320	  money-fx

321	  alum

322	  money-fx
  dlr

323	  alum

324	
325	
326	
327	  earn

328	
329	  veg-oil
  rape-oil

330	
331	  tin

332	
333	  carcass

334	  acq

335	
336	  money-fx
  dlr

337	  earn

338	  grain
  corn

339	  gnp
  money-fx

340	  trade
  bop

341	  earn

342	
343	  money-fx
  dfl

344	
345	
346	  trade

347	  acq

348	  earn

349	
350	
351	  trade

352	
353	  money-fx

354	  trade

355	  money-fx

356	  money-fx
  dlr

357	  money-fx

358	  money-fx

359	
360	  acq

361	  bop
  trade

362	
363	  money-fx
  dlr
  yen

364	
365	
366	  sugar

367	  money-fx

368	
369	  money-fx
  dlr

370	  acq

371	  trade
  bop

372	  carcass
  sugar

373	
374	  trade

375	  trade
  bop

376	  cpi

377	
378	
379	
380	  earn

381	  money-fx
  dlr

382	
383	  cpi

384	  cpi

385	
386	  earn

387	  ship

388	
389	  earn

390	  ship

391	
392	  earn

393	  ship

394	  crude
  ship

395	
396	  interest

397	  earn

398	  acq

399	
400	  earn

401	  earn

402	  cocoa

403	  acq

404	
405	  trade
  grain
  wheat
  coffee
  tea
  iron-steel
  crude

406	
407	
408	
409	
410	  earn

411	  earn

412	
413	  acq

414	
415	  money-fx

416	
417	  money-fx

418	  acq

419	
420	
421	
422	  acq

423	
424	
425	
426	  earn

427	
428	  acq

429	  earn

430	  earn

431	  earn

432	
433	  acq

434	  acq

435	  earn

436	
437	
438	  earn

439	  earn

440	
441	  acq

442	
443	  grain
  wheat

444	  earn

445	  acq

446	  earn

447	
448	  cocoa

449	
450	
451	  crude
  ship

452	  acq

453	  acq

454	  trade

455	
456	
457	  acq

458	  earn

459	
460	
461	  acq

462	
463	  interest

464	
465	
466	  acq

467	
468	
469	  earn

470	  cocoa

471	  earn

472	  acq

473	
474	  money-fx
  dlr

475	
476	
477	  earn

478	
479	
480	
481	
482	
483	  earn

484	  gold
  silver
  zinc
  lead

485	
486	  grain
  corn

487	
488	  corn
  grain

489	
490	  cocoa

491	
492	
493	  grain
  wheat

494	
495	
496	
497	  earn

498	  earn

499	  earn

500	
501	
502	  interest
  money-fx

503	
504	  cocoa

505	  cocoa

506	
507	  acq

508	  earn

509	
510	
511	
512	
513	
514	  earn

515	
516	
517	  acq

518	  grain
  corn
  wheat
  rice

519	  ipi
  trade

520	  nat-gas

